MetaboliteId	ClusterId
0	298173
131074	311346
1179666	300276
1310740	314720
786445	298175
393220	314428
524298	298171
393221	295987
393218	300266
524301	298171
524302	298172
1179668	300277
524288	298169
1179675	300277
11	298173
786439	298175
13	298173
786434	298170
1179676	300274
1572886	298167
524295	298169
16	298168
1179651	300262
524316	298159
1179652	300275
524319	298163
393246	300285
1179658	300275
524307	298172
917525	311887
1310729	315001
524310	298159
1179660	300276
1572871	315009
131106	306292
786477	315008
917551	300281
1179699	300287
1572921	315007
1310774	315006
393250	300285
524332	315005
786474	315004
1572926	315003
786468	315004
917542	300283
917543	300281
1572914	315002
524324	298163
1310776	315006
917539	300283
1179708	303072
131117	304247
524327	315005
1310779	315000
524344	315225
786492	315228
917566	300279
1179682	300274
1179683	300280
917564	300301
1310758	313780
524347	315225
786495	315257
917565	300279
1310759	295980
1572907	315254
524348	315251
917562	300298
917563	300301
917560	300298
524336	315247
786484	315008
917558	305061
1179691	300280
786486	315008
131129	304348
786487	315228
917557	305061
524340	315247
917554	300294
1179694	300287
524341	315247
917555	305061
917552	300294
1310762	312092
524360	315246
786508	315257
1179731	300296
1572954	315244
917581	296439
1179729	310741
524364	315298
917579	296439
1572958	315240
524367	315298
524352	315251
1179738	300311
524353	315251
524355	315246
1179737	300296
1572947	315238
1179743	300311
1310809	315269
1572950	315267
524359	315246
393302	300314
524376	315305
1179715	311203
786526	305427
524380	315305
917594	300305
393299	300314
524381	315305
524382	315165
786522	315301
1179717	311203
524368	315298
786516	315301
524369	315294
1179723	300308
1179720	311205
1572931	315291
1179726	310741
1048652	315289
1310792	315000
131167	304348
1310794	315000
524375	315294
1179725	300308
1310795	315269
131170	311496
1179762	300304
1572985	315285
524395	315167
1179761	300331
1310832	297259
524398	315175
524384	315165
524385	315163
1179771	300332
1179769	300304
524388	315163
917602	300305
524389	315163
524390	315167
786557	305427
1310821	315160
1572969	315185
524411	315182
1179745	300327
524412	315179
1572973	315176
524415	315179
786555	305427
524400	315175
524401	315174
1179755	300331
1179752	300327
524403	315174
1048683	315202
524404	315174
524405	315182
1572965	315199
393336	309490
1179794	300329
1179793	300323
1179799	300329
1310867	315195
524416	315179
917636	313223
1179800	300325
1310879	315195
1179807	300339
917632	313223
1179805	300325
393366	309490
1179778	300332
393364	309490
1573002	315191
1179780	300341
1573006	315188
1179786	300341
1179787	300323
786579	315221
393382	300335
1179824	300337
786600	315221
1179830	300354
166	298168
131236	311496
131237	304247
786603	315217
1179829	300337
168	298168
786596	315221
1441983	305256
172	315213
393386	300335
1310904	297295
1179839	300351
1179837	300354
786621	315209
1179815	300339
786613	315217
1179816	300352
786615	315209
1179822	300352
1573028	315208
524469	315112
524471	315112
393412	300347
393411	309668
1179863	300349
1179861	300343
786630	315111
393421	300345
393417	300347
1179869	300349
209	315213
786654	315110
212	315108
393426	300361
1179846	300359
393425	300345
1179845	300351
216	315108
217	315108
786646	315107
219	315106
786641	315107
1179855	300343
222	315106
223	315106
1179853	300359
917742	300356
1573112	315129
225	315123
786670	315126
917740	302092
917741	300356
228	315123
917738	302092
229	315123
1179895	300378
917736	307171
231	315120
917737	307171
524512	315141
1179898	300380
234	315120
131304	313834
1310974	315142
235	315120
786663	315126
524516	315141
524517	315141
238	315140
240	315139
786685	315138
786686	315138
1179872	300375
393461	300361
917754	299516
1179878	300375
917755	300377
1179879	300378
131316	313845
786682	315138
917753	300369
393471	300372
917748	300369
786679	315137
1310959	315142
917746	314129
1310952	299659
253	315139
786673	315137
917747	314129
393464	300361
917744	296520
393465	300372
917745	296520
256	315139
131330	313840
524552	315154
917774	314094
1179922	314537
1573144	315136
1179923	300363
258	315157
786702	315152
524555	315154
786703	315152
917773	314094
1179921	314537
393474	300366
524556	315053
786696	315054
524558	315053
1573150	315052
524559	315040
524546	315047
786694	315054
1179928	300363
1179929	300387
268	315157
786688	315054
1179934	300387
393483	313200
917763	300377
1179935	311362
270	315051
393480	300366
524551	315047
524568	315044
1179906	311193
1179907	311193
393492	300389
1573130	315043
524571	315041
1179905	300380
393490	313200
786712	315076
131348	312749
917784	300392
1179908	314410
393489	313200
1310979	313783
1573135	315072
524561	315040
786709	315087
524562	315044
917778	300392
1573125	315150
786706	315087
1179917	314410
1179954	311191
290	315051
524587	315086
1179953	307148
917802	300408
293	304382
1179956	311191
1179957	300411
1179962	300411
393519	300403
786725	315085
524578	315041
1573171	315083
786720	315076
393515	300389
524581	315086
