MetaboliteId	ClusterId
0	346930
131074	353111
1179666	346322
1310740	337495
786445	347127
393220	350407
524298	356433
393221	356371
393218	344237
524301	339013
1310739	351173
1048600	355967
1179675	339521
11	346930
13	346930
786434	353225
1572886	348053
524295	354749
16	346965
1179651	349349
786463	354105
131094	352032
524316	339082
1179658	339526
1572864	351634
524307	339002
1572871	340133
131106	346844
917551	355633
1179699	355962
1572921	353485
1310774	342309
393250	350662
524332	338979
786474	348122
1179700	350379
1179701	349136
917542	352192
917543	355633
524324	338989
1179710	347283
1310776	342309
917539	352192
131117	352326
1310779	342298
524344	347797
786492	346567
917566	338287
1179682	345420
917564	353449
1310758	349368
524347	347797
786495	349414
917565	338287
1310759	356250
1572907	349998
524348	338238
917562	355703
917563	353449
917560	355703
524336	351574
786484	348096
917558	348773
1179691	346799
786486	348096
131129	350667
917557	348773
524340	351574
917554	353969
524341	351574
917555	348773
917552	353255
1310762	351867
524360	348369
786508	349414
1572954	342229
917581	355751
1179729	356481
524364	350857
917579	355751
1572958	356569
524367	350857
524352	338238
524353	338238
524355	348369
1179737	353582
1572947	355755
1179743	343807
1572950	340450
524359	348369
393302	351283
524376	347227
1179715	355529
524380	347227
524381	347227
524382	347676
786522	348074
1179717	355529
524368	350857
1179723	348855
1179720	355323
1179726	356481
1048652	339657
1310792	342298
131167	350667
1310794	342298
524375	354920
1179725	348855
131170	356700
1572985	347447
524395	346852
1179761	353591
1310832	347703
524398	354121
524384	347676
524385	345244
393324	356562
1310846	353160
1179769	338851
1310847	343895
524388	345244
917602	355677
393323	344943
524389	345244
786557	348072
1310821	339375
1572969	348345
524411	354926
524412	338619
1572973	356614
524415	338619
786555	348072
524400	354121
524401	354123
1179752	341528
524403	354123
1048683	346797
524404	354123
1048684	342125
1572965	355087
393336	345958
1179793	351588
1179799	348199
1310867	350352
524416	338619
917636	347143
917632	347143
1179805	345283
393366	345958
1179778	345899
393364	345958
1573002	356639
1310855	352722
1573006	339233
1179786	352393
1310857	339375
1048718	342125
786579	348101
1310901	349831
786600	348101
166	346965
131236	356700
131237	352326
786603	342392
1179829	346882
168	346965
786596	348101
172	346934
393386	348312
1310904	346541
1048765	355926
1179837	343413
524472	349447
786621	346550
131249	350302
1310880	349802
1179815	350441
786613	342392
1179822	338860
1573028	347387
524469	339152
524471	339152
1310891	337230
1179862	339436
393411	350879
1179861	339516
786629	353681
786630	349350
1179870	339436
786626	353681
393417	348315
1179869	344801
209	346934
786654	346545
212	354171
393426	344196
393425	348313
1179845	348739
216	354171
217	354171
786646	346579
219	352774
222	352774
223	352774
1179853	339404
917742	355725
1573112	337904
225	346919
786670	348052
917740	355558
917741	355725
228	346919
917738	355558
229	346919
1179895	352208
917736	339541
231	355305
917737	339541
524512	353791
234	355305
131304	351663
1310974	348352
235	355305
1310975	349405
524516	353791
237	355305
524517	341035
238	355305
239	354171
240	346875
786685	349025
786686	349025
393461	344196
917754	344832
1179878	349071
1179879	352208
131316	351688
786682	349025
917753	355764
393471	344063
786679	348031
1310959	348352
917746	355780
1310952	346306
253	346875
917747	355780
393464	344196
917744	355720
917745	355720
256	346875
131330	351659
524552	338078
917774	348914
1179922	337977
1573144	351417
258	350806
786702	348274
524555	338078
786703	348274
917773	348914
1179921	337977
524556	343655
786696	348066
786697	343689
524558	344589
1573150	337307
524559	343642
524546	343655
786694	348066
1179928	352382
