Specie Array (Metabolite Cluseter)
1755162	1807418	1804435
1763546	1807419	1815099	1755163	1797560	1766441	1812387	1804434	1801350	1810276
1814491	1814490	1755160	1755161	1797400	1807448	1811805	1801564	1801436	1807443	1811923	1755155	1814289	1804433	1810263	1755159	1807446	1807445	1809931	1814283	1804425	1814287	1766350	1804430	1814285	1805507	1762242	1762243	1802177	1766977	1762241	1802182	1762245	1756218	1755193	1805500	1763069	1756210	1804403	1762547	1804470	1766004	1762548	1801263	1814819	1810275	1801058	1797541
1755166	1807423	1815502	1797261	1767005	1762449	1801792	1809911	1804438	1812086
1754906	1816219	1815834	1816218	1804186	1754904	1816223	1804191	1755167	1816222	1816221	1766685	1816220	1804179	1800977	1804439	1755156	1797396	1754901	1804180	1804427	1801480	1804175	1802252	1807235	1807232	1807237	1804219	1804218	1804223	1754943	1815868	1754941	1807415	1816246	1801385	1801261	1754912	1816225	1754916	1763288	1807197	1763282	1807186	1763283	1763281	1811799	1807191	1763286	1807189	1763284	1763285	1814729	1802063	1815246	1754946	1801409	1807424	1754948	1814905	1814264	1805048	1763198	1807230	1800942	1815532	1801443	1763299	1807201	1802208
1755178	1801769	1804456	1755164	1755165	1804588	1801740	1804437
1811995	1814297	1811801	1811992	1801502	1755154	1766675	1802194	1755280	1755153	1762257	1766678	1797397	1802059	1804426	1766603	1804874	1804424	1766732	1804556	1755585	1797190	1797189	1800958	1807411	1810099	1763248	1807413	1810027	1810222	1763245	1816162	1808295	1808359	1816165
1807323	1804330	1797514	1755049	1755134	1807395	1755152	1804422	1804404
1807417	1804431	1755158
1815307	1804429	1762226	1800914	1755157
1755146	1766713	1800957	1763260	1807405	1809666	1804417	1816177	1811733	1797300
1804379	1755103	1796882	1814423	1801239	1796885	1814421	1801076	1807371	1766794	1755147	1796906	1811919	1812303	1804655	1807407	1807406	1755148	1766060	1765868	1804418	1812294	1809830	1809700
1809752	1812063	1766546	1762387	1815441	1762385	1801620	1815179	1755144	1815438	1804301	1755138	1755143	1800888	1804408	1804415	1796791	1809975	1796981	1763690	1812331	1807402	1807401	1766828	1796973	1765933	1812322	1807398
1815418	1815161	1804414	1755132	1755133	1804401	1765937	1800885	1766549	1809995	1807403	1796971	1755145	1809999	1801615	1796975	1804546	1807394	1807393	1812320	1763654	1812325	1762373
1755150	1766611	1807409	1762480	1811862	1804421	1802052	1814436
1762232	1755151	1815310	1811843	1801282	1807410	1797479	1766741	1804420
1809816	1812414	1814894	1755149	1804419	1797299	1763184	1807408	1766422	1801575
1810202	1763679	1766621	1763219	1812437	1765973	1807939	1755139	1807936	1802119	1797575	1814917	1816507	1807802	1816506	1804410	1807801	1816505	1755128	1801465	1816504	1810238	1811709	1801139	1755120	1801840	1804981	1755115	1755118	1804398	1810158	1797356	1763683	1763681	1804391	1804389	1763685
1797264	1765846	1801943	1797269	1755136	1755142	1801722	1804413	1807485	1811568	1804407	1762934	1816054	1816053	1766197	1762933	1811562	1804521	1755241	1807400	1766572	1816045	1801900	1762916	1807396
1812185	1814623	1812179	1766613	1762888	1809992	1755137	1762886	1762885	1808187	1804409	1808184	1808188	1805363	1756080	1801328	1766263	1809717	1766709	1797034	1814889	1756073	1797032	1756079	1809966	1797037	1805356	1801187	1814626	1812194	1814624	1802215	1807397	1804901	1763173
1804411	1755131	1810141	1802259	1797171	1807826	1804402	1797170	1816370	1807799	1763381	1765800	1766376	1801568	1811974	1755140	1811973
1762171	1797273	1812095	1804412	1815250	1807399	1755141	1766981	1801796
1755194	1807275	1807449	1804273	1754993	1804471
1766746	1807450	1755195	1804474	1804473	1802239	1811793	1755184	1755185	1811798	1797417	1807438	1804462	1807437	1800909	1797411	1766176
1809881	1814685	1801949	1807442	1807447	1805451	1807435	1807439	1763010	1801153	1765946	1755192	1797247	1812478	1801726	1766077	1755186	1814771	1804465	1804468	1755189	1766517	1797227	1797226	1812458	1762923	1812456	1755182	1804463	1809645	1762925	1814691	1814689	1762919
1809850	1755198	1762750	1804478	1766956	1807452	1801324	1812034	1815815	1797060	1809924
1814809	1797522	1816466	1816465	1809943	1808138	1766665	1763586	1763587	1755200	1804481	1755201	1808135	1801223	1808133	1810234	1766265	1804479	1755199	1797501	1811635	1766002	1763059	1811633	1804720	1811632	1801200	1809762
1766248	1755196	1804476	1802279	1763031	1816085
1807451	1763387	1811721	1809657	1816376	1804477	1755197	1765907	1797312	1801062
1814937	1763545	1807441	1807440	1763274	1763531	1810056	1766025	1810248	1796879	1766412	1807436	1804736	1811654	1815098	1815091	1755187	1797042	1804464	1755188	1797044	1797556	1801332	1755183	1804460	1801186	1812196
1804466	1797137	1801601	1811873	1755190	1766388	1807972
1762539	1766968	1804467	1801779	1814482	1755191
1755179	1804457	1807433	1755112	1804386	1807378
1815819	1755176	1801885	1762754	1807431	1811831	1804454	1766116	1797108
1801691	1766198	1766932	1762410	1815465	1807432	1755177	1762412	1812332	1812323	1804450	1796961	1804455	1815463	1801637	1807428	1755173
1807385	1814616	1809950	1765983	1765970	1809810	1814615	1807382	1807381	1814613	1807434	1812170	1804236	1812167	1762875	1762878	1762877	1755122	1797104	1797109	1804459	1802027	1814891	1804393	1763177	1801326	1755180	1755116	1766829	1755117	1801184	1804390
1804458	1755181
1796825	1812233	1801752	1804445	1762572	1814508	1766962	1755170	1807426
1765914	1804447	1763090	1766934	1810006	1804821	1756042	1756041	1805327	1756044	1805324	1808002	1796928	1796998	1809670	1796934	1762170	1762168	1762169	1809725	1812338	1814839	1810293	1812340	1801578	1808040	1800879	1812269	1766178	1814243	1755171	1814242	1801505	1814241	1808039	1808038
1804441	1755168
1802251	1766667	1812137	1797288	1804444	1807425	1755169
1812443	1800986	1763597	1797052	1810227	1766721	1755174	1816470	1807429	1804452
1801739	1762235	1811993	1766632	1815311	1797187	1807430	1755175	1804453
1766091	1807427	1816386	1804449	1811937	1801664	1763398	1755172
1755226	1804507	1807466	1804498	1807473	1755217
1755227	1796856	1809887	1812317	1804508	1766802	1755219	1762131	1807474	1796849	1766609	1801303	1802071	1812278	1762132	1804500	1807467
1755224	1804505	1807472
1804506	1796841	1755225	1814238	1802285	1812177	1807297	1766929	1762166	1810038
1766424	1755230	1801234	1814932	1797323	1815112	1815118	1796866	1812290	1812417	1763265	1807483	1765819	1807480	1763570	1801073	1810167	1763574	1807477	1805292	1804515	1804513	1755233	1809766	1755236
1801688	1804511	1755231	1801629	1807484	1766710	1807478	1766570	1811565	1762850	1815938	1762848	1804519	1755239	1815940
1763039	1797021	1755228	1804509	1814803	1765904	1804503	1801749	1755221	1755210	1804491	1814792	1801608	1814798	1755206	1804487	1814790	1801980	1807475	1809841	1766068	1766506	1812201	1801903	1810030	1807469	1763053	1807456	1763041	1797031	1763047	1812198	1807460
1814559	1766302	1800990	1804510	1755229	1802067	1810070	1801173	1814603	1807497	1797381	1812420	1755256	1804856	1755257	1762739	1762737	1755254	1804535	1804533	1807476	1763179	1762856	1814892	1814561	1766631
1800921	1801821	1755218	1804499	1801777	1804564	1755240	1766952	1766657	1755238	1804518	1804517	1755237
1762331	1801624	1762334	1755216	1755222	1804501	1763658	1815370	1815368	1804493	1755213	1815372	1796802	1766595	1800890	1796792	1809852	1815164	1812081	1810032	1804917	1812074	1807465	1807470	1765922	1762336	1807462
1804504	1807471	1755212	1755245	1804492	1807491	1804529	1755249	1805319	1755223
1801835	1766910	1807468	1797089	1804502	1755220	1811813
1812027	1766458	1755211	1804494	1797197	1815292	1809651	1762209	1801767	1807461
1763514	1755208	1804488	1796831	1816435	1801842	1807458	1766966	1812230	1809702
1766122	1804490	1810026	1755209	1816301	1763314	1802291	1807459	1797298	1811684
1812139	1755214	1804495	1809807	1797293	1762578	1766897	1801751	1807463	1815655
1807464	1755215	1804496
1814617	1766606	1762879	1807453	1755202	1811779	1797394	1804482	1809681	1801553
1812042	1807454	1763324	1816316	1804483	1755203	1766336	1797238	1801782	1810164
1804489	1816457	1812127	1801854	1763571	1809698	1796817	1807457	1755207	1766117
1807455	1814207	1801022	1801459	1762128	1766992	1805303	1756020	1811947	1762127	1811950	1808131	1814208	1755204	1804484	1766213
1804486	1755205
1805074	1807499	1807498	1815183	1796867	1815747	1811521	1765888	1815744	1807495	1796870	1811526	1755258	1755259	1804536	1762672	1800951	1763703	1755253	1804532	1766761	1762670	1801645	1809644	1809697
1804539	1811929	1755262	1810094	1807501	1796909	1815104	1801312	1763558	1766357
1755263	1807502	1804540
1804538	1766585	1755260	1807500	1796787	1815666	1762593	1812054	1809972	1801636
1807515	1815954	1815952	1807511	1766550	1807509	1801492	1797460	1755272	1804553	1797455	1815950	1755277	1766221	1804547	1755270	1815942	1804549	1801541	1766522	1811770	1804537	1811773	1755261	1762859	1809775	1809838	1762863	1801582	1762861	1802080	1762852	1766756
1812383	1809948	1763027	1766420	1765838	1805123	1810176	1814784	1807494	1807493	1807492	1801849	1801148	1755250	1804531	1804530	1755251	1797234	1814898	1812405	1755252	1763188	1797355	1763183	1814893
