MetaboliteId	ClusterId
131074	261214
1179666	261678
786445	249137
393220	250387
393218	261686
524302	249136
1179668	261684
524288	249139
1179675	261684
11	249138
786439	249137
851969	260648
13	249138
786434	249133
1179676	261682
1572886	249132
524295	249139
16	249135
1179651	261689
524316	249134
1179652	261673
524319	249131
1179658	261673
1114120	260584
524307	249136
917525	263088
524310	249134
1179660	261678
1572871	249130
131106	261671
786477	250265
917551	261706
1179699	261676
1572921	250248
1310774	250249
983085	262090
524332	250246
852008	259201
786474	250247
786468	250247
917542	259422
917543	261706
524324	249131
1310776	250249
131117	262187
524327	250246
1310779	250242
786492	250245
917566	262485
1179682	261682
1179683	261704
917564	258467
524347	250236
1572907	250238
917562	265999
786484	250265
917558	260970
1179691	261704
786486	250265
131129	261709
786487	250245
917557	260970
524340	250250
917554	258380
1179694	261676
524341	250250
524360	250214
786508	250218
1179731	261707
917581	261552
1179729	261698
1179738	261696
524353	250368
852039	260646
1179737	261707
1572947	250371
1179743	261696
852032	260641
524359	250214
786526	250365
983132	251306
524380	250366
917594	261702
524381	250366
786522	250360
1179717	251804
589918	260639
786516	250360
524369	250364
1048652	250352
1310792	250242
131167	261709
1310794	250242
524375	250364
1179725	264346
1179762	261700
524395	250356
1179761	261692
1310832	250336
524384	250333
1179771	261691
852068	265812
1179769	261700
524388	250335
917602	261702
524389	250335
524390	250356
786557	250365
1310821	250328
1572969	250330
524411	250326
1179745	261729
1572973	250327
524415	250321
786555	250365
524400	250325
589937	260636
1179755	261692
1179752	261729
524403	250315
1048683	250297
524404	250315
524405	250326
393336	265339
1179794	261724
1179793	261722
1114261	260633
1179799	261724
983177	251285
524416	250321
1114264	260630
917636	260131
1179800	261728
1179807	261726
1114270	260630
1179805	261728
393366	265339
1179778	261691
393364	265339
1573002	250299
1179780	261716
1179786	261716
1179787	261722
1114254	260633
786579	250293
1179824	261714
786600	250293
1179830	261720
166	249135
131236	261718
131237	261710
786603	250296
1179829	261714
168	249135
786596	250293
172	250442
1114300	260627
1179839	261749
1114303	260624
1179837	261720
1114273	260621
786621	250443
983229	251285
1179815	261726
786613	250296
1114283	260621
1179816	261748
786615	250443
1179822	261748
1114287	260627
524471	250440
983246	255894
1114322	260624
1114324	260624
393411	258140
1179863	261742
1179861	261740
786629	250441
1114331	260618
786630	250438
393417	250694
1179869	261742
209	250442
393426	261744
1179846	261746
1179845	261749
983256	255859
1179855	261740
222	250439
223	250439
1179853	261746
917742	255353
786670	250433
917740	261734
983275	262544
1114356	260618
1179895	261732
917737	257631
1179898	261738
234	250425
1310974	250429
235	250425
786663	250433
240	250417
786685	250421
786686	250421
1179872	261736
393461	261744
1179878	261736
917755	262159
1179879	261732
393471	262158
786679	250401
1310959	250429
1310952	250402
983283	251288
253	250417
786673	250401
1114351	260618
393464	261744
393465	262158
917745	262161
256	250417
917774	262160
1179922	251808
1573144	250399
1179923	262155
258	250400
393474	262153
786696	250398
1114393	260440
786694	250398
1179928	262155
1179929	262157
268	250400
1114397	260440
786688	250398
1179934	262157
917763	262159
270	250393
393480	262153
524568	250395
1179907	255289
393492	262156
1573130	250389
524571	250392
1179905	261738
393490	259475
786712	250384
1114372	260436
131348	251592
1114375	260436
917784	262191
1179908	251027
393489	259475
786709	250386
524562	250395
983316	251291
917778	262191
1114382	260440
1179917	251027
65825	260434
290	250393
524587	250525
1179953	257745
917802	262189
1179956	251809
1179957	262182
1179962	262182
393519	262179
786725	250526
524578	250392
786720	250384
393515	262156
524581	250525
917795	262189
262443	250523
262452	250524
917822	262178
1114403	264254
786744	250526
1179942	251623
262450	250523
917816	262178
983353	251294
1179947	251628
1179944	257743
1179950	259159
983346	256646
1114449	259489
524616	250519
1114451	259489
1179985	261435
262465	250511
1114455	260431
1179988	260388
1179994	257918
