1813054	R_YDL100C@iIN800	Folate Metabolism
1813406	R_MET7@iIN800	Folate Metabolism
1813694	R_ABZ1@iIN800	Folate Metabolism
1812690	R_DFR1_2@iIN800	Folate Metabolism
1812689	R_DFR1_1@iIN800	Folate Metabolism
1813584	R_RMA1@iIN800	Folate Metabolism
1813558	R_U87_@iIN800	Folate Metabolism
1813515	R_U89_@iIN800	Folate Metabolism
1813576	R_U88_@iIN800	Folate Metabolism
1813667	R_FOL1_4@iIN800	Folate Metabolism
1814082	R_FOL3@iIN800	Folate Metabolism
1813666	R_FOL1_3@iIN800	Folate Metabolism
1812578	R_PHO8@iIN800	Folate Metabolism
1813665	R_FOL1_2@iIN800	Folate Metabolism
1813664	R_FOL1_1@iIN800	Folate Metabolism
1813638	R_U91_@iIN800	Folate Metabolism
1813637	R_U90_@iIN800	Folate Metabolism
1814084	R_FOL2@iIN800	Folate Metabolism
1806427	R_THFOXR@iAZ900	Folate Metabolism
1806552	R_DHFRim@iAZ900	Folate Metabolism
1807068	R_ADCS@iAZ900	Folate Metabolism
1806608	R_THFGLUS@iAZ900	Folate Metabolism
1805776	R_GTPCI@iAZ900	Folate Metabolism
1805911	R_FTHFLmi@iAZ900	Folate Metabolism
1807060	R_ADCL@iAZ900	Folate Metabolism
1806346	R_THFATm@iAZ900	Folate Metabolism
1806729	R_FTHFCL@iAZ900	Folate Metabolism
1806605	R_HPPKm@iAZ900	Folate Metabolism
1806669	R_MTHFCm@iAZ900	Folate Metabolism
1806476	R_MTHFD2i@iAZ900	Folate Metabolism
1806272	R_DNMPPA@iAZ900	Folate Metabolism
1806586	R_AKP1@iAZ900	Folate Metabolism
1806137	R_DNTPPA@iAZ900	Folate Metabolism
1806968	R_MTHFC@iAZ900	Folate Metabolism
1806904	R_DHFS@iAZ900	Folate Metabolism
1806526	R_FOLD3m@iAZ900	Folate Metabolism
1806717	R_MTHFDm@iAZ900	Folate Metabolism
1806589	R_DHPSm@iAZ900	Folate Metabolism
1805618	R_DHFRi@iAZ900	Folate Metabolism
1806967	R_MTHFD@iAZ900	Folate Metabolism
1806070	R_FTHFCLm@iAZ900	Folate Metabolism
1806634	R_FTHFLi@iAZ900	Folate Metabolism
1806569	R_MTHFR3@iAZ900	Folate Metabolism
1805608	R_QULNS@iAZ900	Folate Metabolism
1806125	R_ASPOcm@iAZ900	Folate Metabolism
1805922	R_DHNPAm@iAZ900	Folate Metabolism
1806247	R_FTHFI@iAZ900	Folate Metabolism
1802907	R_420@ymn1_0	Folate Metabolism
1803611	R_405@ymn1_0	Folate Metabolism
1802906	R_421@ymn1_0	Folate Metabolism
1803802	R_699@ymn1_0	Folate Metabolism
1802334	R_588@ymn1_0	Folate Metabolism
1803612	R_889@ymn1_0	Folate Metabolism
1803602	R_892@ymn1_0	Folate Metabolism
1803600	R_893@ymn1_0	Folate Metabolism
1803606	R_890@ymn1_0	Folate Metabolism
1803604	R_891@ymn1_0	Folate Metabolism
1803594	R_411@ymn1_0	Folate Metabolism
1802825	R_1620@ymn1_0	Folate Metabolism
1803598	R_894@ymn1_0	Folate Metabolism
