Id	Entry	Left	Right	LeftStoich	RightStoich
1713403	META:RXN-13519	1572800	1572800	4.0	4.0
1713404	META:RXN0-5265	1572800 1586414 1714699	1583219	4.0 1.0 4.0	2.0
1713408	META:3.4.19.6-RXN	1616108 1583219	1615896 1595423	1.0 1.0	1.0 1.0
1713410	META:GLYCOGEN-SYNTHASE-D-PHOSPHATASE-RXN	1616111 1583219	1542760 1616113	1.0 1.0	1.0 1.0
1713412	META:3.2.1.61-RXN	1584193 1583219	1539662 1535458	1.0 -1.0	-1.0 -1.0
1713414	META:ARG-OXIDATION-RXN	1583219 1586414 1611733	1590160 1546431 1598043	1.0 1.0 1.0	1.0 1.0 1.0
1713417	META:2.7.11.18-RXN	1611946 1572800 1573706	1610535 1573719	1.0 1.0 1.0	1.0 1.0
1713419	META:NAD-SYNTH-GLN-RXN	1583219 1543796 1611946 1543570	1570608 1563457 1543802 1572800 1611144	1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0 1.0
1713426	META:PYRUVATE-CARBOXYLASE-RXN	1586812 1611946 1585565	1538441 1610535 1542760 1572800	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1712513	META:RXN-7817	1586414 1572800 1559202 1569568	1610854 1566220 1583219	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1712515	META:RXN-7825	1572800 1600052 1610733	1576942 1551441 1562255	1.0 2.0 1.0	1.0 2.0 3.0
1712517	META:RXN-7826	1610733 1572800 1600052	1551441 1576968 1562255	1.0 2.0 3.0	3.0 1.0 4.0
1712518	META:PHOSPHOENOLPYRUVATE-MUTASE-RXN	1572800 1543319	1566626	1.0 1.0	1.0
1712527	META:RXN-7821	1597028 1576413	1572800 1541356 1576392	1.0 1.0	1.0 1.0 1.0
1712530	META:METHANETHIOL-OXIDASE-RXN	1583219 1561788 1586414	1590160 1541774 1596943	1.0 1.0 1.0	1.0 1.0 1.0
1712534	META:RXN-7822	1594040 1600052 1572800	1551441 1562255 1544284	1.0 3.0 2.0	3.0 4.0 1.0
1712536	META:RIBOKIN-RXN	1611946 1554868	1610535 1599758 1572800	1.0 1.0	1.0 1.0 1.0
1712541	META:RXN-7820	1547600 1608064	1576413 1572800 1570608	1.0 1.0	1.0 1.0 1.0
1712542	META:6.3.2.30-RXN	1546554 1611733 1611946	1542760 1610535 1598728	1.0 1.0 1.0	1.0 1.0 1.0
1712545	META:DIOHBUTANONEPSYN-RXN	1584289	1589894 1572800 1599959	1.0	1.0 1.0 1.0
