MetaboliteId	ClusterId
0	326021
131074	332578
1179666	316590
1310740	333550
786445	318843
393220	334747
524298	330455
393221	322313
393218	319736
393219	334747
524301	330455
524302	330433
1179668	334006
1310739	323227
524288	322289
1179675	334006
11	326021
786439	318843
13	326021
786434	316833
1179676	336972
1572886	315803
524295	322289
16	332691
1179651	334568
786463	318991
524316	318899
393232	336240
1179652	329549
393233	336240
524319	336721
393246	335294
1179658	329549
524307	330433
917525	326476
1310729	335904
524310	318899
1179660	316590
1572871	334718
131106	328900
786477	330058
917551	336365
1179699	326880
1572921	318229
1310774	327385
393250	335294
524332	317113
786474	316268
1179700	335454
1572926	335652
1179701	328657
786468	316268
917542	325735
917543	336365
1572914	331951
524324	336721
1179710	323943
1310776	327385
917539	325735
1179708	320941
131117	327819
524327	317113
1310779	319538
524344	334000
786492	322986
917566	319459
1179682	336972
1179683	331751
917564	321252
1310758	321970
524347	334000
786495	334867
917565	319459
1310759	319257
1572907	332958
524348	325410
917562	334862
917563	321252
917560	334862
524336	320411
786484	330058
917558	322616
1179691	331751
393276	333967
786486	330058
131129	323752
786487	322986
917557	322616
524340	320411
917554	319497
1179694	326880
524341	320411
917555	322616
917552	319497
1310762	327295
393286	330623
524360	320987
786508	334867
393287	330623
1179731	317394
1572954	328542
917581	336047
1179729	336547
524364	324436
917579	336047
1572958	328573
524367	324436
524352	325410
1179738	323975
524353	325410
524355	320987
1179737	317394
1572947	319158
1179743	323975
1310809	328504
1572950	328513
524359	320987
393302	325255
524376	335143
1179715	319636
786526	321490
524380	335143
917594	328405
393299	325255
524381	335143
524382	325505
786522	324201
1179717	319636
524368	324436
786516	324201
524369	317716
1179723	335674
1179720	316689
1572931	328502
1179726	336547
1048652	333209
1310792	319538
131167	323752
1310794	319538
524375	317716
1179725	335674
1310795	328504
131170	318178
1179762	330574
1572985	336810
524395	323250
1179761	329198
1310832	316935
524398	330061
524384	325505
524385	324248
1179771	325087
393324	336344
1310846	333503
1179769	330574
393322	322904
524388	324248
917602	328405
393323	322904
524389	324248
524390	323250
786557	321490
1310821	333338
1572969	333869
524411	322922
1179745	334574
524412	326539
1572973	324988
524415	326539
786555	321490
524400	330061
524401	325961
1179755	329198
1179752	334574
524403	325961
1048683	332670
524404	325961
524405	322922
1572965	330477
393336	327377
1179794	316205
1179793	335238
1179799	316205
1310867	330483
524416	326539
917636	331159
1179800	315779
1310879	330483
1179807	326072
917632	331159
1179805	315779
393366	327377
1179778	325087
393364	327377
1573002	334232
1179780	335359
1573006	330485
1179786	335359
1179787	335238
786579	317674
393382	321495
1179824	329120
786600	317674
1179830	317916
166	332691
131236	318178
131237	327819
786603	331869
1179829	329120
168	332691
393390	317138
786596	317674
1441983	334110
393389	317138
172	318975
393386	321495
1310904	331180
1179839	334614
1179837	317916
786621	329567
1179815	326072
786613	331869
1179816	332793
786615	329567
1179822	332793
1573028	330472
524469	321999
524471	321999
1310891	335723
393412	336612
1179862	335749
393411	326729
1179863	332146
1179861	331210
786629	330599
786630	335076
393421	321521
1179870	335749
786626	330599
393417	336612
1179869	332146
209	318975
786654	318509
212	329390
393426	335139
1179846	318599
393425	321521
1179845	334614
216	329390
217	329390
786646	330654
219	318997
786641	330654
1179855	331210
222	318997
223	318997
1179853	318599
917742	319124
1573112	330596
225	333923
786670	326978
917740	322741
917741	319124
228	333923
917738	322741
229	333923
1179895	324855
917736	320894
231	331998
917737	320894
524512	333898
1179898	332534
234	331998
131304	336946
1310974	323336
235	331998
786663	326978
524516	333898
237	326812
524517	333898
238	326812
239	329390
240	323535
786685	333914
786686	333914
1179872	335865
393461	335139
917754	327649
1179878	335865
917755	327749
1179879	324855
131316	336904
786682	333914
917753	321446
393471	324917
917748	321446
786679	327287
1310959	323336
917746	322961
1310952	334461
253	323535
786673	327287
917747	322961
393464	335139
917744	335824
393465	324917
917745	335824
256	323535
131330	336892
524552	319801
917774	318633
1179922	320106
1573144	317849
1179923	324530
258	333437
786702	327844
524555	319801
786703	327844
917773	318633
1179921	320106
393474	336124
524556	317557
786696	335921
786697	317464
524558	317557
1573150	317288
524559	331117
524546	317557
786694	335921
1179928	324530
1179929	328493
268	333437
786688	335921
1179934	328493
393483	320755
917763	327749
1179935	330135
270	323191
393480	336124
524551	317557
524568	318863
1179906	326079
1310980	318287
1179907	326079
393492	332499
1573130	335208
524571	323055
1179905	332534
393490	320755
786712	325922
1310976	329470
131348	334631
917784	317858
1179908	323361
393489	320755
1310979	320534
1573135	334483
524561	331117
786709	321260
524562	318863
1310990	318287
1310991	322504
917778	317858
1573125	316702
786706	321260
1179917	323361
1179954	336996
1311029	321435
290	323191
524587	335083
1179953	327636
917802	336726
293	330173
1179956	336996
1179957	336472
1179962	336472
393519	333522
786725	315893
524578	323055
1573171	317157
786720	325922
393515	332499
524581	335083
917795	336726
262443	316376
1179965	329484
262452	328892
917822	321148
786750	332751
786744	315893
1179942	330135
1048868	322532
1179943	320106
1573165	317156
262450	316376
917816	321148
1179947	334828
1179944	320106
262463	328892
1179945	334828
1179950	326226
1048876	332670
1179951	327636
1573158	317155
1179949	326226
524616	331915
1179986	330315
786766	329044
786767	334475
1179985	335479
262465	318403
786761	329044
1179988	330315
1179989	335479
1179994	335479
1179995	328565
330	330173
331	330173
262473	318403
786753	332751
1573205	333559
334	325503
393544	333522
1179996	322440
393545	328855
262485	334793
1179968	329484
1573194	324232
1179969	332478
1442117	325040
524636	329080
1179974	332250
524637	329080
1311041	322364
1179973	332478
131418	317302
1573184	324780
262493	334793
1179979	332250
1179982	325356
1179983	335479
524630	331915
524631	329080
1311051	333098
1180018	334257
1180016	318578
1311094	333098
262503	336622
786799	334475
524652	323657
1573247	324446
1573233	321514
262511	336622
1180030	334257
1573237	324778
367	325503
1311076	320993
369	325503
786813	324272
1180003	322440
131440	322674
393588	328855
786814	329044
371	320422
1180006	326749
1180007	326749
1573229	324788
786810	324272
1180004	332881
1180005	332881
262524	324766
393598	331612
1180010	318578
786805	317464
378	320422
524658	323657
1180008	320428
379	320422
1180009	320428
381	331098
786801	334475
382	331098
393592	331612
383	324761
1180051	335687
524682	326726
262535	335546
524683	326726
388	326512
524684	324376
1180054	335687
1180055	326725
1311122	333339
391	326512
393601	327241
1311123	336230
392	326512
393	327079
1311133	324783
262543	335546
1180057	326632
524677	326726
399	327079
1573271	331540
400	327079
917918	318946
786845	329044
1048961	321435
402	321057
393620	327241
1180032	323236
393621	317314
786847	329044
917917	318813
404	321057
393618	327241
1180038	323236
405	321057
1180039	324313
406	331150
1048967	321435
1180042	330274
917911	318813
524690	324376
393626	327241
1180046	317513
393624	317314
393625	317314
1180045	330274
1180086	316897
1049012	335503
1180087	336454
1573300	320134
786851	326942
524728	335444
524729	329680
1180067	326632
917949	316066
1311143	324783
436	331150
1180070	329194
1573292	332394
524733	329680
786873	324726
1180071	330039
262579	320685
524735	332845
1180069	329194
262588	320685
1180074	336188
441	329424
262589	331993
917943	316066
1180075	336034
393660	327241
524722	335444
917940	329391
1180072	336188
917941	329391
917938	329391
1180078	336034
1180079	316897
1311145	324148
524744	335257
786892	320022
1180114	325416
786893	320022
1180115	318467
1311189	328303
262599	331993
524747	335257
786895	318300
393666	328252
524748	335257
786888	320022
393667	326266
917963	328067
393664	327241
917960	328067
1180116	326030
393665	328252
524751	321909
1049048	320223
393676	331978
1573330	325102
524741	332845
1311193	320587
393673	326266
393686	318340
917982	329775
1180098	317516
1311172	326499
917983	329775
1180096	336454
393685	326274
1180097	316372
393682	326274
917978	323140
1180102	320792
1573324	317500
917979	329775
393680	331978
393681	331978
786907	325570
1180101	317516
