SubcellularCompartment	Specie Array
CYTOSOL	1804539	1811929	1755262	1810094	1807501	1796909	1815104	1801312	1763558	1766357
CYTOSOL	1808141	1765825	1812358
CYTOSOL	1756189	1805478	1808276
CYTOSOL	1816079	1766318	1810252	1802156	1756050	1797122	1808161	1763009	1812183	1805334
CYTOSOL	1796873	1807390	1804397	1766770	1762658	1810258	1811520	1815728	1801847	1755127
MITOCHONDRIA	1766506	1812201	1763039	1797021	1807469	1801980	1809841	1804503	1814790	1755221
BOUNDARY	1814927	1805409	1763233	1755862
CYTOSOL	1810155	1801320	1763234	1807634	1766355	1796914	1814928	1804694	1811926	1755413
PEROXISOME	1805480	1756191	1808278
CYTOSOL	1812315	1796858	1762504	1755465	1801277	1804748	1807680	1766806	1814454
CYTOSOL	1755338	1804619	1797530	1763592	1808047	1802273	1811639	1816468	1766677
BOUNDARY	1763131	1755721	1804188	1814869	1807908
MITOCHONDRIA	1797361	1763505	1766855	1811732
CYTOSOL	1807451	1763387	1811721	1809657	1816376	1804477	1755197	1765907	1797312	1801062
CYTOSOL	1801787	1766987	1815256	1807266	1762177	1812096	1804263	1797270	1754983
CYTOSOL	1805337	1797550	1809709	1765939	1808167	1811655	1756053
PEROXISOME	1763290	1756105	1766255	1805389	1802061	1816227	1808214
BOUNDARY	1755096	1815167	1763664	1805520
VACUOLE	1814283	1755193	1801436	1762241	1804470
CYTOSOL	1805483	1797128	1766386	1811970	1756193	1807444	1801604
CYTOSOL	1755320	1804601	1797433	1810264	1807559	1797431
NUCLEUS	1816428	1763492
EXTRACELLULAR	1807977	1814280	1762233	1797407	1755340	1812460	1766003	1804624	1809940
MITOCHONDRIA	1797435	1766872	1763369	1811718
CYTOSOL	1805482	1756192	1808279
BOUNDARY	1805451	1807435	1755182	1763010	1814771
MITOCHONDRIA	1762410	1812332	1804450	1796961	1766198	1815463	1801637	1807428	1755173
CYTOSOL	1809816	1812414	1814894	1755149	1804419	1797299	1763184	1807408	1766422	1801575
EXTRACELLULAR	1808059	1811578	1763055	1797266	1816098	1766784	1805200	1755911
CYTOSOL	1766618	1808270	1801715	1811697	1805472	1756182	1763190	1814900
MITOCHONDRIA	1766795	1796943	1811550	1762831	1807278	1815917	1754996	1804276	1801476
CYTOSOL	1816427	1763489
CYTOSOL	1756142	1808239	1762720	1815792	1805430	1766551	1811590	1801574
CYTOSOL	1804538	1766585	1755260	1807500	1796787	1815666	1762593	1812054	1809972	1801636
CYTOSOL	1804843	1766698	1807770	1812248	1762431	1814418	1810193	1801345	1797088	1755556
CYTOSOL	1807487	1755244	1804525	1801756	1766050	1815776	1762692
CYTOSOL	1755963	1808093	1805251	1802258	1766228	1816404	1763429
CYTOSOL	1801227	1815290	1812009	1762207	1766463	1755375	1807596	1804658	1797207
MITOCHONDRIA	1756090	1811679	1805374	1801534	1816444	1809730	1766833	1763542	1797302	1808198
CYTOSOL	1809737	1815800	1766158	1801711	1755058	1812434	1762736	1797332	1804340	1807332
GOLGI	1800943	1808252	1756160	1814576	1805447	1762773
BOUNDARY	1814875	1805215	1756159	1763142
EXTRACELLULAR	1811883	1762377	1804664	1807422	1809724	1815425	1797472	1765860	1755381
BOUNDARY	1807993	1814829	1804332	1763079	1755639
CYTOSOL	1805448	1808254	1756162
CYTOSOL	1801819	1805210	1766638	1755920	1762272	1815333
EXTRACELLULAR	1805114	1810170	1808298	1762184	1814249	1765919	1796942	1811517	1755825
MITOCHONDRIA	1800987	1755912	1815693	1808060	1805202	1810082	1762625
MITOCHONDRIA	1763355	1766875	1811724	1797425
EXTRACELLULAR	1804219	1816223	1754943	1807232	1763286
BOUNDARY	1815161	1755133	1804546	1807394	1763654
EXTRACELLULAR	1804744	1812350	1766322	1762199	1814262	1755461
BOUNDARY	1755071	1804637	1815170	1807346	1763670
EXTRACELLULAR	1755274	1765902	1816099	1763123	1804550
VACUOLE	1755690	1801679	1815474	1804976	1807879	1762421
CYTOSOL	1808137	1805310	1811726	1756028	1797363	1816371	1809970	1802240	1763382	1766215
