MetaboliteId	ClusterId
0	268336
131074	272368
1179666	277601
1310740	268335
786445	268338
393220	281613
524298	268337
393221	286423
393218	277777
524301	268337
524302	268306
1179668	277600
524288	268302
1048600	268314
1179675	277600
11	268336
786439	268338
13	268336
786434	268310
1179676	277603
1572886	268320
524295	268302
16	268317
1179651	277770
524316	269349
1179652	277602
524319	269350
393246	277605
1179658	277602
524307	268306
917525	277421
1310729	269351
524310	269349
1179660	277601
1572871	269352
131106	277604
786477	269353
917551	277606
1179699	277607
1572921	269354
1310774	269355
393250	277605
524332	269356
786474	269357
1572926	269358
786468	269357
917542	274170
917543	277606
1572914	269359
524324	269350
1310776	269355
917539	274170
1179708	283279
131117	277599
524327	269356
1310779	269360
524344	269361
786492	269362
917566	278511
1179682	277603
1179683	277598
917564	271917
524347	269361
786495	269363
917565	278511
1310759	269364
1572907	269365
524348	269366
917562	277920
917563	271917
917560	277920
524336	269367
786484	269353
917558	285007
1179691	277598
786486	269353
131129	271253
786487	269362
917557	285007
524340	269367
917554	273388
1179694	277607
524341	269367
917555	285007
917552	273388
1310762	269368
524360	269684
786508	269363
1179731	277621
1572954	269685
917581	286402
1179729	279997
524364	269686
917579	286402
1572958	269687
524367	269686
524352	269366
1179738	277631
524353	269366
524355	269684
1179737	277621
1572947	269688
1179743	277631
1310809	269689
1572950	269690
524359	269684
393302	285442
524376	269692
1179715	279641
786526	269694
524380	269692
917594	277630
393299	285442
524381	269692
524382	269696
786522	269704
1179717	279641
524368	269686
786516	269704
524369	269705
1179723	280014
1179720	279638
1572931	269706
1179726	279997
1310792	269360
131167	271253
1310794	269360
524375	269705
1179725	280014
1310795	269689
131170	280598
1179762	277633
1572985	269707
524395	269708
1179761	277632
1310832	269709
524398	269710
524384	269696
524385	269711
1179771	277636
1179769	277633
524388	269711
917602	277630
524389	269711
524390	269708
786557	269694
1310821	269713
1572969	269715
524411	269724
1179745	277635
524412	269725
1572973	269726
524415	269725
786555	269694
524400	269710
524401	269727
1179755	277632
1179752	277635
524403	269727
1048683	269728
524404	269727
524405	269724
1572965	269729
393336	286315
1179794	277638
1179793	277637
1179799	277638
1310867	269730
524416	269725
917636	283010
1179800	277629
1310879	269730
1179807	277515
917632	283010
1179805	277629
393366	286315
1179778	277636
393364	286315
1573002	269731
1179780	277513
1573006	269732
1179786	277513
1179787	277637
786579	269734
393382	277525
1179824	277523
786600	269734
1179830	277529
166	268317
131236	280598
131237	277599
786603	269734
1179829	277523
168	268317
786596	269734
1441983	271502
172	269744
393386	277525
1179839	277527
1179837	277529
786621	269745
1179815	277515
786613	269734
1179816	277533
786615	269745
1179822	277533
1573028	269746
524469	269747
524471	269747
393412	277531
393411	285325
1179863	277537
1179861	277535
786630	269748
393421	277545
393417	277531
