ModelEntityId	EntityType	ClusterEntry	ClusterId
1798754	ModelReaction	mrxn_81	431958
1806989	ModelReaction	mrxn_82	431959
1809320	ModelReaction	mrxn_82	431959
1757683	ModelReaction	mrxn_82	431959
1817502	ModelReaction	mrxn_83	431954
1819821	ModelReaction	mrxn_83	431954
1803945	ModelReaction	mrxn_84	431955
1765129	ModelReaction	mrxn_84	431955
1819465	ModelReaction	mrxn_84	431955
1798097	ModelReaction	mrxn_84	431955
1805827	ModelReaction	mrxn_84	431955
1756535	ModelReaction	mrxn_84	431955
1811233	ModelReaction	mrxn_84	431955
1808703	ModelReaction	mrxn_84	431955
1818675	ModelReaction	mrxn_85	431967
1818387	ModelReaction	mrxn_85	431967
1818854	ModelReaction	mrxn_85	431967
1813403	ModelReaction	mrxn_86	431964
1813734	ModelReaction	mrxn_86	431964
1797717	ModelReaction	mrxn_86	431964
1798280	ModelReaction	mrxn_86	431964
1810346	ModelReaction	mrxn_86	431964
1810343	ModelReaction	mrxn_86	431964
1767825	ModelReaction	mrxn_86	431964
1798252	ModelReaction	mrxn_87	431965
1813709	ModelReaction	mrxn_87	431965
1809294	ModelReaction	mrxn_87	431965
1810755	ModelReaction	mrxn_87	431965
1803889	ModelReaction	mrxn_87	431965
1819444	ModelReaction	mrxn_87	431965
1806965	ModelReaction	mrxn_87	431965
1757659	ModelReaction	mrxn_87	431965
1768114	ModelReaction	mrxn_87	431965
1765087	ModelReaction	mrxn_87	431965
1817550	ModelReaction	mrxn_88	431960
1819879	ModelReaction	mrxn_88	431960
1797808	ModelReaction	mrxn_89	431961
1809204	ModelReaction	mrxn_89	431961
1798325	ModelReaction	mrxn_89	431961
1767101	ModelReaction	mrxn_89	431961
1798323	ModelReaction	mrxn_89	431961
1817552	ModelReaction	mrxn_89	431961
1811161	ModelReaction	mrxn_89	431961
1818923	ModelReaction	mrxn_89	431961
1768237	ModelReaction	mrxn_89	431961
1819213	ModelReaction	mrxn_89	431961
1813841	ModelReaction	mrxn_89	431961
1767104	ModelReaction	mrxn_89	431961
1809110	ModelReaction	mrxn_89	431961
1765363	ModelReaction	mrxn_89	431961
1757298	ModelReaction	mrxn_89	431961
1812591	ModelReaction	mrxn_89	431961
