MetaboliteId	ClusterId
131074	236548
1179666	242900
786445	247533
393220	239226
393218	243058
524302	247539
1179668	242888
524288	247537
1179675	242888
11	247289
786439	247533
851969	233993
13	247289
786434	247288
1179676	242890
1572886	247295
524295	247537
16	247293
1048576	247301
1179651	242894
131094	232469
524316	247298
1179652	242918
524319	247306
1179658	242918
1114120	233992
524307	247539
917525	242091
524310	247298
1179660	242900
1572871	245827
131106	242903
786477	245826
917551	242909
1179699	242906
1572921	245823
1310774	245822
983085	234836
524332	245825
852008	238411
786474	245824
786468	245824
917542	237581
917543	242909
524324	247306
1310776	245822
131117	247095
524327	245825
1310779	245829
786492	245828
917566	235503
1179682	242890
1179683	242911
917564	248130
524347	245831
1572907	245830
917562	234480
786484	245826
917558	233605
1179691	242911
786486	245826
131129	231053
786487	245828
917557	233605
524340	245683
917554	236243
1179694	242906
524341	245683
524360	245685
786508	245684
1179731	242866
917581	241978
1179729	242868
1179738	242870
524353	245680
852039	233991
1179737	242866
1572947	245679
1179743	242870
852032	233930
524359	245685
786526	245682
983132	245790
524380	245681
917594	242872
524381	245681
786522	245696
1179717	236429
589918	233931
786516	245696
524369	245692
1048652	245703
1310792	245829
131167	231053
1310794	245829
524375	245692
1179725	234795
1179762	242861
524395	245720
1179761	242883
1310832	245719
524384	245722
1179771	242885
852068	232164
1179769	242861
1310847	245721
524388	245716
917602	242872
524389	245716
524390	245720
786557	245682
1310821	245715
1572969	245718
524411	245717
1179745	242874
1572973	245736
524415	245732
786555	245682
524400	245789
589937	233928
1179755	242883
852084	233929
1179752	242874
524403	245763
1048683	245762
589938	237928
524404	245763
524405	245717
393336	231714
1179794	242876
1179793	242878
1114261	233936
1179799	242876
983177	240390
524416	245732
1114264	233937
917636	235499
1179800	242880
589957	238388
1179807	242942
1114270	233937
1179805	242880
393366	231714
1179778	242885
393364	231714
1573002	245765
1179780	242944
1179786	242944
1179787	242878
1310857	245715
1114254	233936
786579	245764
1179824	242946
786600	245764
1179830	242947
166	247293
131236	242958
131237	247095
786603	245759
1179829	242946
168	247293
786596	245764
172	245758
1114300	233934
1179839	242960
1114303	233935
1179837	242947
1114273	233932
786621	245761
983229	240390
1310880	245760
1179815	242942
786613	245759
1114283	233932
1179816	242962
786615	245761
1179822	242962
1114287	233934
524471	245770
983246	231461
1114322	233935
1114324	233935
393411	236775
1179863	242949
1179861	242951
786629	245821
1114331	233933
786630	245820
393417	242701
1179869	242949
209	245758
917725	242953
393426	242920
1179846	242955
1179845	242960
983256	231474
917714	242953
1179855	242951
222	245795
223	245795
1179853	242955
917742	232997
786670	245794
917740	242922
983275	241443
1114356	233933
1179895	242923
917737	231549
1179898	242933
234	245797
131304	242935
1310974	245796
235	245797
786663	245794
240	245791
983295	240388
786685	245790
786686	245790
1179872	242937
393461	242920
1179878	242937
917755	242939
1179879	242923
131316	242925
393471	242927
786679	245793
1310959	245796
1310952	245792
983283	240521
253	245791
786673	245793
1114351	233933
393464	242920
393465	242927
917745	242929
256	245791
131330	234420
917774	242931
1179922	236431
1573144	245621
1179923	243757
258	245624
393474	243758
786696	245623
983304	240388
1114393	233942
786694	245623
1179928	243757
1179929	243767
268	245624
1114397	233942
786688	245623
1179934	243767
917763	242939
270	245608
131340	244641
393480	243758
524568	245607
1179907	236430
393492	243763
1573130	245610
524571	245609
1179905	242933
393490	237778
786712	245605
1114372	233940
131348	242838
1114375	233940
917784	243764
1179908	235806
393489	237778
1573135	245604
786709	245606
524562	245607
983316	234747
917778	243764
1114382	233942
1179917	235806
65825	231190
290	245608
524587	245645
1179953	238011
917802	243765
1179956	236432
1179957	243766
1179962	243766
131371	243759
393519	243760
786725	245644
524578	245609
786720	245605
393515	243763
524581	245645
917795	243765
262443	245647
262452	245646
917822	243761
1114403	241372
786744	245644
1179942	236649
262450	245647
917816	243761
983353	240519
1179947	236151
1179944	238015
131390	243759
1179950	230660
983346	232274
1114449	238912
524616	245628
1114451	238912
1179985	234651
262465	245627
1114455	233941
1179988	230716
1179994	239747
330	245630
331	245630
1114461	233941
262473	245627
786753	245629
334	245626
393544	243760
1179996	243762
983361	243195
393545	243745
262485	245625
1179968	236647
1442117	240922
1179974	243754
1311041	245657
1179973	238576
131418	241996
262493	245625
1179979	243754
524630	245628
1180018	243755
1180016	243750
262503	245654
786799	245653
524652	245656
1573233	245655
262511	245654
1180030	243755
367	245626
1114494	233938
1311076	245650
852349	242395
369	245626
1114464	233939
1180003	243762
131440	238206
393588	243745
786814	245649
1180007	236648
1114470	233939
1180005	243751
1114473	233938
262524	245652
393598	243752
1180010	243750
378	245651
524658	245656
379	245651
1180009	232217
786801	245653
393592	243752
524682	245648
262535	245678
524683	245677
524684	245672
391	245671
393601	243753
392	245671
1311133	245676
262543	245678
1180057	243746
399	245674
400	245674
1114497	233938
917918	245319
786845	245649
