Id	Entry	Left	Right	LeftStoich	RightStoich
1673780	rxn00069	1492240 1492309	1492321 1492243 1492447 1492514	1.0 2.0	1.0 1.0 1.0 1.0
1673785	rxn01397	1493319 1492255	1503007 1492329	1.0 1.0	1.0 1.0
1673788	rxn00068	1492514 1492240 1517104	1517108 1492243	1.0 1.0 2.0	2.0 1.0
1673024	rxn02651	1492240 1495986	1498133 1492243 1492514	1.0 1.0	1.0 1.0 1.0
1673027	rxn03983	1492286 1492581 1492732	1493064 1492396	1.0 1.0 1.0	1.0 2.0
1673034	rxn01321	1492225 1499188	1492514 1492342 1493211	1.0 1.0	1.0 1.0 1.0
1673037	rxn02652	1492263 1500696 1492514	1496276 1492225 1492355	1.0 1.0 1.0	1.0 1.0 1.0
1673041	rxn03982	1504320 1492250	1492246 1511769 1492514	2.0 1.0	1.0 1.0 1.0
1673044	rxn01326	1492255 1493216 1492519	1493207 1493426 1492225	1.0 1.0 1.0	1.0 1.0 1.0
1673051	rxn02657	1496320	1503044	1.0	1.0
1673053	rxn03989	1492321 1492255 1502669	1492225 1492266 1495979 1492372	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1673055	rxn01327	1493216 1492638 1492255	1492225 1494041 1493207	1.0 1.0 1.0	1.0 1.0 1.0
1673059	rxn02658	1496320 1492268	1503097	1.0 1.0	1.0
1673061	rxn03988	1492255 1492321 1496616	1492372 1492266 1505153	1.0 1.0 1.0	1.0 1.0 1.0
1673067	rxn01324	1492250 1493216	1492246 1492514 1499992	1.0 1.0	1.0 1.0 1.0
1673070	rxn02655	1498811 1492514 1492225	1493518 1496312	1.0 1.0 1.0	1.0 1.0
1673073	rxn03987	1492514 1492255	1495797	1.0 1.0	1.0
1673075	rxn01325	1493216 1492504 1492255	1494075 1492225 1493207	1.0 1.0 1.0	1.0 1.0 1.0
1673079	rxn02656	1492225 1496629	1492514 1492266 1496313	1.0 1.0	1.0 1.0 1.0
1673082	rxn03986	1492255 1511772	1503458 1493111	1.0 1.0	1.0 1.0
1673085	rxn01328	1492250 1494077	1492246 1493222 1492514	1.0 1.0	1.0 1.0 1.0
1673088	rxn02659	1492240 1496828	1492243 1496329 1492514	1.0 1.0	1.0 1.0 1.0
1673091	rxn01329	1493222	1494047	1.0	1.0
1673096	rxn13300	1492331	1492932 1492273 1492514	1.0	1.0 1.0 1.0
1673099	rxn13302	1492514 1492447	1492447 1492514	1.0 1.0	1.0 1.0
1673103	rxn13301	1492447 1492514	1492447 1492514	1.0 1.0	1.0 1.0
1673107	rxn13304	1492309	1492309	1.0	1.0
1673111	rxn13303	1492514 1492309	1492514 1492309	1.0 1.0	1.0 1.0
1673115	rxn13306	1492396 1492225 1492238 1492238 1492225	1492256 1492396 1492258 1492514 1492256 1492258	1.0 1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0 1.0 1.0
1673119	rxn13305	1492388	1492388	1.0	1.0
1673122	rxn03970	1492240 1497528 1492225	1492514 1495805 1492243	1.0 1.0 1.0	2.0 1.0 1.0
1673127	rxn02642	1499800 1492255 1492514	1496216 1492329	1.0 2.0 1.0	1.0 2.0
1673130	rxn03974	1492240 1496301	1492243 1492514 1492433	1.0 1.0	1.0 1.0 1.0
1673136	rxn02643	1499457	1496232 1492533	1.0	1.0 1.0
1673140	rxn03973	1492250 1495287	1501924 1492514 1492246	1.0 1.0	1.0 1.0 1.0
1673143	rxn02640	1496213 1493129	1501460 1492263 1492514	1.0 1.0	1.0 1.0 1.0
1673144	rxn03972	1496574 1492250	1492514 1492246 1493476	1.0 1.0	1.0 1.0 1.0
1673147	rxn01310	1492250 1494386	1492246 1492335 1492514	1.0 1.0	1.0 1.0 1.0
1673153	rxn02641	1496216 1492283	1501777 1492294 1492514	1.0 1.0	1.0 1.0 1.0
1673156	rxn03971	1492250 1497528 1492225	1495805 1492514 1492246	1.0 1.0 1.0	1.0 2.0 1.0
1673159	rxn01315	1493216 1492510 1492255	1492225 1492519 1493207	1.0 1.0 1.0	1.0 1.0 1.0
1673168	rxn02646	1493526 1496240	1492263 1498288	1.0 1.0	1.0 1.0
1673172	rxn03978	1492225 1492721 1492271	1492726 1492547 1492514	2.0 6.0 1.0	6.0 1.0 8.0
1673174	rxn01316	1492258 1492514 1493211	1492487 1494081 1492225	1.0 1.0 1.0	1.0 1.0 1.0
1673179	rxn02647	1496287 1492514	1493111 1496250	1.0 1.0	1.0 1.0
1673182	rxn03977	1492250 1499902 1493264	1492514 1499283 1492246	1.0 1.0 1.0	3.0 1.0 1.0
1673185	rxn01313	1492243 1492514 1493207	1493216 1492240	1.0 1.0 1.0	1.0 1.0
1673190	rxn02644	1496232 1492283	1492514 1501932 1492294	1.0 2.0	2.0 1.0 2.0
1673192	rxn03976	1494842 1492250	1493170 1492246 1492514	1.0 1.0	1.0 1.0 1.0
1673196	rxn01314	1492514 1493207 1492246	1493216 1492250	1.0 1.0 1.0	1.0 1.0
1673200	rxn02645	1499738 1492283	1492910 1496235 1492514	1.0 1.0	1.0 1.0 1.0
1673207	rxn03975	1496301 1492250	1492433 1492246 1492514	1.0 1.0	1.0 1.0 1.0
1673216	rxn01319	1493211 1492305	1499622 1492263	1.0 1.0	1.0 1.0
1673219	rxn01317	1503320 1492225	1492514 1493211 1492258	1.0 1.0	1.0 1.0 1.0
1673222	rxn02648	1492917 1496251	1502389 1492858 1492514 1496165	2.0 1.0	1.0 1.0 1.0 1.0
1673224	rxn01318	1492305 1493211	1492263 1499620	1.0 1.0	1.0 1.0
1673227	rxn02649	1492283 1496257	1492514 1502911 1492294	1.0 1.0	1.0 1.0 1.0
1673230	rxn03979	1492887 1498974 1492250	1511757 1492246 1492266	1.0 1.0 1.0	1.0 1.0 1.0
1673234	rxn13329	1525488 1492225	1525445 1492514 1495237	0.01 1.0	1.0 1.0 1.0
1673238	rxn01340	1492514 1492255 1493230 1492246	1492225 1492250 1501738	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1673240	rxn02671	1498982 1492250	1496381 1492246 1492514	1.0 1.0	1.0 1.0 1.0
1673243	rxn01341	1495233	1492533 1493230	1.0	1.0 1.0
1673246	rxn02672	1496383	1511774 1501921	1.0	1.0 1.0
1673248	rxn00010	1492388 1492514	1492266 1495159	2.0 1.0	1.0 1.0
1673253	rxn02670	1498982 1492240	1492243 1492514 1496381	1.0 1.0	1.0 1.0 1.0
1673256	rxn00012	1492548	1492335 1499110	2.0	1.0 1.0
1673260	rxn01344	1496624 1492238	1493233 1492256	1.0 1.0	1.0 1.0
1673261	rxn02675	1492225 1498007	1496436 1492514	1.0 1.0	1.0 1.0
1673264	rxn00011	1501468 1492266	1492514 1492463 1492298	1.0 1.0	1.0 1.0 1.0
1673267	rxn01345	1492225 1493635	1493233 1492514 1492258	1.0 1.0	1.0 1.0 1.0
1673270	rxn02676	1496436	1499552 1492225	1.0	1.0 1.0
1673273	rxn00014	1492329 1492726 1492514	1492721 1492225	1.0 2.0 2.0	2.0 2.0
1673278	rxn01342	1493230	1501748	1.0	1.0
1673280	rxn02673	1496392 1492238	1492256 1499038	1.0 1.0	1.0 1.0
1673283	rxn00013	1492619	1492335 1494106	2.0	1.0 1.0
1673289	rxn01343	1492238 1493233	1493635 1492256	1.0 1.0	1.0 1.0
1673292	rxn02674	1496413 1492238	1492256 1498656	1.0 1.0	1.0 1.0
1673295	rxn00016	1496028 1492225	1492786	1.0 1.0	2.0
1673297	rxn01348	1493233 1492515	1493635 1492626	1.0 1.0	1.0 1.0
1673301	rxn02679	1496450 1492276	1495622 1501720	1.0 1.0	1.0 1.0
1673309	rxn00015	1492765	1503558 1492271	2.0	1.0 1.0
1673313	rxn01349	1492305 1493241	1492263 1496318 1492514	1.0 1.0	1.0 1.0 1.0
1673317	rxn00018	1492266 1495259 1492225	1492986 1492514	1.0 1.0 1.0	2.0 2.0
1673322	rxn01346	1493233 1492444	1492659 1493635	1.0 1.0	1.0 1.0
1673326	rxn02677	1496731	1496447	1.0	1.0
1673329	rxn00017	1492240 1492965	1492514 1492243 1496254	2.0 2.0	2.0 2.0 1.0
1673332	rxn01347	1492489 1493233	1492273 1493635	1.0 1.0	1.0 1.0
1673336	rxn02678	1496450 1492250	1492246 1492514 1501720	1.0 1.0	1.0 1.0 1.0
1673339	rxn00019	1496686 1492255	1492514 1492547 1493022	2.0 1.0	2.0 2.0 2.0
1673344	rxn13320	1516702	1516702	1.0	1.0
1673347	rxn13322	1492514 1493530	1493530 1492514	1.0 1.0	1.0 1.0
1673351	rxn13321	1493530 1492514	1492514 1493530	1.0 1.0	1.0 1.0
1673355	rxn13324	1494747	1494747	1.0	1.0
1673359	rxn13323	1493530	1493530	1.0	1.0
1673363	rxn13326	1492225 1525482	1495237 1525430 1492514	1.0 0.01	1.0 1.0 1.0
1673367	rxn13325	1494747	1494747	1.0	1.0
1673371	rxn13328	1525486 1492225	1495237 1492514 1525442	0.01 1.0	1.0 1.0 1.0
1673375	rxn13327	1492225 1525484	1492514 1525433 1495237	1.0 0.01	1.0 1.0 1.0
1673379	rxn13319	1516702	1516702	1.0	1.0
1673382	rxn13318	1529516	1529516	1.0	1.0
1673386	rxn02660	1496336 1492283	1492514 1492294 1498972	1.0 1.0	1.0 1.0 1.0
