MetaboliteId	ClusterId
0	218529
131074	214705
1179666	220419
1310740	203317
786445	211266
393220	200215
524298	210026
393221	208376
393218	217887
393219	200215
524301	210026
524302	219867
1179668	205941
1310739	218580
524288	204231
1048600	210840
1179675	205941
11	218529
786439	211266
13	218529
786434	210278
1179676	206114
1572886	217763
524295	204231
16	217994
1048576	199863
1179651	199187
786463	202432
131094	215462
524316	212102
393232	214413
1179652	208319
393233	214413
524319	209709
393246	208422
1179658	208319
524307	219867
917525	219329
1310729	203644
524310	212102
1179660	220419
1572871	205775
131106	200302
786477	211151
917551	204290
1179699	219352
1572921	215592
1310774	215266
393250	208422
524332	202165
786474	214743
1179700	219339
1572926	209174
1179701	209890
786468	214743
917542	200417
917543	204290
1572914	214270
524324	209709
1179710	215155
1310776	215266
917539	200417
1179708	219488
131117	208746
524327	202165
1310779	204902
524344	214723
786492	218854
917566	199315
1179682	206114
1179683	208875
917564	207904
1310758	210989
524347	214723
786495	211819
917565	199315
1310759	214886
1572907	213162
524348	209361
917562	205069
917563	207904
917560	205069
524336	206390
786484	211151
917558	212639
1179691	208875
393276	204858
786486	211151
131129	202950
786487	218854
917557	212639
524340	206390
917554	220118
1179694	219352
524341	206390
917555	212639
917552	220118
1310762	212625
393286	210225
524360	213607
786508	211819
393287	210225
1179731	207798
1572954	204136
917581	208276
1179729	206933
524364	206593
917579	208276
1572958	215693
524367	206593
524352	209361
1179738	214214
524353	209361
524355	213607
1179737	207798
1572947	212394
1179743	214214
1310809	215521
1572950	208595
524359	213607
393302	216421
524376	213908
1179715	210427
786526	206997
524380	213908
917594	199991
393299	216421
524381	213908
524382	216405
786522	219318
1179717	210427
524368	206593
786516	219318
524369	200799
1179723	206717
1179720	210804
1572931	218207
1179726	206933
1048652	218832
1310792	204902
131167	202950
1310794	204902
524375	200799
1179725	206717
1310795	215521
131170	205231
1179762	210051
1572985	211023
524395	220334
1179761	220580
1310832	200000
524398	209564
524384	216405
524385	203658
1179771	208941
393324	210546
1310846	215670
1179769	210051
1310847	213676
393322	215983
524388	203658
917602	199991
393323	215983
524389	203658
524390	220334
786557	206997
1310821	219246
1572969	216237
524411	209514
1179745	219121
524412	200967
1572973	212370
524415	200967
786555	206997
524400	209564
524401	213027
1179755	220580
1179752	219121
524403	213027
1048683	215010
524404	213027
524405	209514
1572965	210856
393336	212022
1179794	200874
1179793	218957
1179799	200874
1310867	211357
524416	200967
917636	207882
1179800	215899
1310879	211357
1179807	220132
917632	207882
1179805	215899
393366	212022
1179778	208941
393364	212022
1573002	205787
1179780	215912
1573006	208979
1179786	215912
1179787	218957
1310857	219246
786579	218259
393382	219738
1179824	209036
786600	218259
1179830	208622
166	217994
131236	205231
131237	208746
786603	218259
1179829	209036
168	217994
393390	201691
786596	218259
1441983	205009
393389	201691
172	202783
393386	219738
1310904	206920
1179839	215909
1179837	208622
786621	220243
1310880	204734
1179815	220132
786613	218259
1179816	202738
786615	220243
1179822	202738
1573028	214498
524469	206489
524471	206489
1310891	216451
393412	220920
1179862	214116
393411	203260
1179863	204693
1179861	214410
786629	210960
786630	215121
393421	202294
1179870	214116
786626	210960
393417	220920
1179869	204693
209	202783
786654	219704
917725	215093
212	208518
393426	205426
1179846	218102
393425	202294
1179845	215909
216	208518
217	208518
786646	199958
219	205735
917714	215093
786641	199958
1179855	214410
222	205735
223	205735
1179853	218102
917742	199994
1573112	216673
225	214068
786670	207270
917740	219578
917741	199994
228	214068
917738	219578
229	214068
1179895	201426
917736	221030
231	199664
917737	221030
524512	205827
1179898	204333
234	199664
131304	202086
1310974	213676
235	199664
786663	207270
524516	205827
237	202895
524517	205827
238	202895
239	208518
240	213082
786685	211812
786686	211812
1179872	218118
393461	205426
917754	202543
1179878	218118
917755	212973
1179879	201426
131316	207650
786682	211812
917753	202018
393471	206571
917748	202018
786679	210744
1310959	213676
917746	206117
1310952	216157
253	213082
786673	210744
917747	206117
393464	205426
917744	220092
393465	206571
917745	220092
256	213082
131330	207731
524552	201090
917774	217640
1179922	216029
1573144	209087
1179923	199130
258	213082
786702	220568
524555	201090
786703	220568
917773	217640
1179921	216029
393474	204166
524556	215311
786696	217374
786697	214986
524558	215311
1573150	220455
524559	214704
524546	215311
786694	217374
1179928	199130
1179929	211292
268	213082
786688	217374
1179934	211292
393483	204160
917763	212973
1179935	217487
270	212653
131340	214617
393480	204166
524551	215311
524568	217571
1179906	206755
1310980	212646
1179907	206755
393492	220351
1573130	211593
524571	215090
1179905	204333
393490	204160
786712	220253
1310976	204245
131348	209850
917784	216919
1179908	219924
393489	204160
1310979	211845
1573135	219094
524561	214704
786709	203964
524562	217571
1310990	212646
1310991	215143
917778	216919
1573125	209640
786706	203964
1179917	219924
1179954	220450
1311029	207526
290	212653
524587	209716
1179953	216937
917802	214965
293	220116
1179956	220450
1179957	213831
1179962	213831
131371	215185
393519	220351
786725	220436
1048889	199051
524578	215090
1573171	201457
786720	220253
393515	220351
524581	209716
917795	214965
262443	202532
1179965	216825
262452	201875
917822	204489
786750	204539
786744	220436
1179942	217487
1048868	213896
1179943	214190
1573165	211455
262450	202532
917816	204489
1179947	207837
1179944	214190
262463	201875
1179945	207837
131390	215185
1179950	218951
1048876	215010
1179951	216937
1573158	201033
1179949	218951
524616	217469
1179986	204316
786766	207157
786767	203024
1179985	217288
262465	220626
786761	207157
1179988	204316
1179989	217288
1179994	217288
1179995	203850
330	220116
331	220116
262473	220626
786753	204539
1573205	211769
334	206939
393544	220351
1179996	204771
393545	210299
262485	214281
1179968	216825
1573194	208686
1179969	209241
1442117	200055
524636	217593
1179974	209354
524637	217593
1311041	205854
1179973	209241
131418	213830
1573184	216551
262493	214281
1179979	209354
1179982	218086
1179983	217288
524630	217469
524631	217593
1311051	218526
1180018	204958
1180016	212420
1311094	218526
262503	209946
786799	203024
524652	218788
1573247	220082
1573233	219684
262511	209946
1180030	204958
1573237	211842
367	206939
1311076	202286
369	206939
786813	207023
1180003	204771
131440	201231
393588	210299
786814	207157
371	212175
1180006	215750
1180007	215750
1573229	215545
786810	207023
1180004	203325
1180005	203325
262524	215563
393598	209421
1180010	212420
786805	214986
378	212175
524658	218788
1180008	212154
379	212175
1180009	212154
381	205228
786801	203024
382	205228
393592	209421
383	204928
1180051	211619
524682	200430
262535	217599
524683	200430
388	211733
524684	205287
1180054	211619
1180055	213661
1311122	213698
391	211733
393601	210902
392	211733
393	205006
1311133	213593
262543	217599
1180057	201461
524677	200430
399	205006
1573271	220561
400	205006
917918	218192
786845	207157
1048961	207526
402	209635
393620	210902
1180032	205834
393621	216812
786847	207157
917917	212671
404	209635
393618	210902
1180038	205834
405	209635
1180039	208922
406	199668
1048967	207526
1180042	201849
917911	212671
524690	205287
393626	210902
1180046	201524
393624	216812
393625	216812
1180045	201849
1180086	205369
1049012	220446
1180087	219927
1311164	213071
1573300	199472
786851	200234
524728	218271
524729	220632
917951	199935
1180067	201461
917949	206319
1311143	213593
436	199668
1180070	215858
1573292	207617
524733	220632
786873	215851
1180071	213217
262579	220250
524735	201028
