Id	Entry	Name
647030	G00594	null
642424	G00332	3'-LM1-NeuGc
642867	G00291	null
647702	G01494	null
647785	G00998	null
641423	G00846	null
731892	G00128	GT1aalpha
731909	G00129	GQ1balpha
731969	G00127	GD1a
736637	G00095	Forssman antigen, IV3GalNAca-Gb4Cer
778385	G10609	UDP-D-galactose;UDP-galactose;Uridene diphosphate galactose;UDP-alpha-D-galactose
798475	G00001	N-Acetyl-D-glucosaminyldiphosphodolichol
799211	G09795	Trehalose 6-phosphate
788798	G00094	Globoside;Gb4Cer;P antigen
794217	G00110	GM1
788142	G00432	null
788161	G00522	null
808346	G10495	1,4-alpha-D-Glucan;1,4-alpha-Glucan;Amylose;Maltodextrin
805939	G11122	Sulfatide;Galactosylceramidesulfate;SM4s
802155	G10611	UDP-N-acetyl-D-galactosamine;UDP-N-acetylgalactosamine
804324	G10238	Glucocerebroside;Glucosylceramide
816011	G00054	Type II A antigen
816408	G00357	Laminaribiose;Laminariobiose;3-O-beta-D-Glucopyranosyl-D-glucose
824837	G00008	null
820759	G00143	null
820823	G00145	null
820842	G00146	null
820905	G00144	null
820925	G00149	null
820952	G00147	null
821006	G00148	null
821242	G13044	null
819736	G10595	null
819860	G00116	GT1b
826976	G00390	HNK-1 glycolipid;HexLK1;IV3SO4GlcA-nLc6-Cer;SGGL-2
827295	G10555	null
832768	G00039	Type IB glycolipid
825850	G00115	GD1b
826354	G01318	Isomaltose;Hunterioside
831266	G10492	1,3-alpha-D-Glucan;1,3-alpha-Glucan
837834	G00151	null
845712	G00471	null
844905	G00756	Neoglyco interleukin-1a
851685	G00059	Type IIIA glycolipid
851743	G00564	Verbascose
852083	G00118	GT3
852393	G11160	Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A);Kdo2-lipid IV(A)
849810	G00114	GD2
848204	G00113	GD3;CD60a
852938	G00069	nLc8Cer
857542	G00406	null
862597	G00044	IV2Fuc-Lc4Cer;IV2-a-Fuc-Lc4Cer;Type IH glycolipid
854776	G02369	globotetraose
860712	G01040	null
861337	G07522	null
861548	G00359	null
858692	G00055	IV2Fuc-nLc4Cer;IV2-a-Fuc-nLc4Cer;Type IIH glycolipid
859038	G10336	Chitobiose;Chito-oligosaccharide
863281	G00005	null
864234	G02557	Acetyldigitoxin;Acetylgitoxin;Acetylgitaloxin;Acetyldiginatin;Diacetyldigoxin
866074	G01077	null
866352	G00045	IV2Fuc,III4Fuc-Lc4Cer;IV2-a-Fuc,III4-a-Fuc-Lc4Cer;Leb glycolipid
